##
#  cooling data, log Lamnda, ergs/cm^3/s, = L/n^2,  where n is the total number of particles.  
#
# Format 3
#
# Cooling file formats:
# Format = 0 -> 2 columns: basic total cooling
# 		log(t)  log(total)
# Format = 1 -> 5 columns: cooling components
# 		log(t)  log(total)  log(atomic) log(H2) log(CO)
# Format = 2 -> 7 columns:  cooling components + mu and gamma
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma
# Format = 3 -> 10 columns: 2 plus H ionisation fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII
# Format = 4 -> 4 columns: total and derivatives  must be computed from components and local composition
#           for use when ion fractions are computed (NEQIONISATION),
#           mu and gamma computed too, and each component needs to be multiplied by the 
#           appropriate species fractions to get the correct cooling.  
#  		ie atomic x (fHI+fHII)^2
#  		ie molecular components x (fH2 * abundance wrt H2 )^2 
#           total = atomic*(fH1+fHII)^2 + H2*fH2^2 + CO*fH2^2
# 		log(t)  log(atomic) log(H2) log(CO)
# Format = 5 -> 13 columns: 3 plus xray cooling fractions
# 		log(t)  log(total)  log(atomic) log(H2) log(CO) mu  gamma fH2 fHI fHII fxr fsxr fhxr
#
#######
#   Abundances relative to solar ref.
#
#   for He use:			 He/H = 0.0737+0.024*Z/Z_sol
#
#   For Secondary elements  use                  
#	log{N/H}=log[1.1e-5*Z/Z_sol +4.9e-5*(Z/Z_sol)^2]  (Groves et al. ApJ, 2004)
#	log{C/H}=log[6.0e-5*Z/Z_sol +2.0e-4*(z/Z_sol)^2]  (Garnett et al. 1999, ApJ, 513, 168)
#
#   Solar Ref: Asplund, Grevesse & Sauval 2005, ASP Conf. Ser. 336 eds T.G. Barnes & F.N. Bash
#
#######
Solar x 1.0 NEQ Atomic Cooling and EOS, Format 3
3         
663         
2.350827E+00 -2.713127E+01 -2.713127E+01 -6.000000E+01 -6.000000E+01 1.285730E+00 1.666667E+00 0.000000E+00 9.968120E-01 3.188023E-03
2.363806E+00 -2.709964E+01 -2.709964E+01 -6.000000E+01 -6.000000E+01 1.285510E+00 1.666667E+00 0.000000E+00 9.966510E-01 3.349267E-03
2.376781E+00 -2.706832E+01 -2.706832E+01 -6.000000E+01 -6.000000E+01 1.285290E+00 1.666667E+00 0.000000E+00 9.964830E-01 3.516680E-03
2.389758E+00 -2.703731E+01 -2.703731E+01 -6.000000E+01 -6.000000E+01 1.285060E+00 1.666667E+00 0.000000E+00 9.963100E-01 3.690421E-03
2.402731E+00 -2.700660E+01 -2.700660E+01 -6.000000E+01 -6.000000E+01 1.284830E+00 1.666667E+00 0.000000E+00 9.961290E-01 3.870651E-03
2.415703E+00 -2.697620E+01 -2.697620E+01 -6.000000E+01 -6.000000E+01 1.284580E+00 1.666667E+00 0.000000E+00 9.959420E-01 4.057538E-03
2.428674E+00 -2.694610E+01 -2.694610E+01 -6.000000E+01 -6.000000E+01 1.284330E+00 1.666667E+00 0.000000E+00 9.957490E-01 4.251251E-03
2.441642E+00 -2.691630E+01 -2.691630E+01 -6.000000E+01 -6.000000E+01 1.284060E+00 1.666667E+00 0.000000E+00 9.955480E-01 4.451967E-03
2.454609E+00 -2.688680E+01 -2.688680E+01 -6.000000E+01 -6.000000E+01 1.283790E+00 1.666667E+00 0.000000E+00 9.953400E-01 4.659866E-03
2.467573E+00 -2.685759E+01 -2.685759E+01 -6.000000E+01 -6.000000E+01 1.283500E+00 1.666667E+00 0.000000E+00 9.951250E-01 4.875135E-03
2.480534E+00 -2.682868E+01 -2.682868E+01 -6.000000E+01 -6.000000E+01 1.283210E+00 1.666667E+00 0.000000E+00 9.949020E-01 5.097968E-03
2.493493E+00 -2.680007E+01 -2.680007E+01 -6.000000E+01 -6.000000E+01 1.282910E+00 1.666667E+00 0.000000E+00 9.946710E-01 5.328567E-03
2.506450E+00 -2.677175E+01 -2.677175E+01 -6.000000E+01 -6.000000E+01 1.282590E+00 1.666667E+00 0.000000E+00 9.944330E-01 5.567141E-03
2.519404E+00 -2.674372E+01 -2.674372E+01 -6.000000E+01 -6.000000E+01 1.282270E+00 1.666667E+00 0.000000E+00 9.941860E-01 5.813907E-03
2.532354E+00 -2.671598E+01 -2.671598E+01 -6.000000E+01 -6.000000E+01 1.281930E+00 1.666667E+00 0.000000E+00 9.939310E-01 6.069094E-03
2.545301E+00 -2.668853E+01 -2.668853E+01 -6.000000E+01 -6.000000E+01 1.281590E+00 1.666667E+00 0.000000E+00 9.936670E-01 6.332940E-03
2.558245E+00 -2.666137E+01 -2.666137E+01 -6.000000E+01 -6.000000E+01 1.281230E+00 1.666667E+00 0.000000E+00 9.933940E-01 6.605693E-03
2.571186E+00 -2.663450E+01 -2.663450E+01 -6.000000E+01 -6.000000E+01 1.280860E+00 1.666667E+00 0.000000E+00 9.931120E-01 6.887616E-03
2.584122E+00 -2.660791E+01 -2.660791E+01 -6.000000E+01 -6.000000E+01 1.280470E+00 1.666667E+00 0.000000E+00 9.928210E-01 7.178983E-03
2.597053E+00 -2.658161E+01 -2.658161E+01 -6.000000E+01 -6.000000E+01 1.280080E+00 1.666667E+00 0.000000E+00 9.925200E-01 7.480084E-03
2.609982E+00 -2.655558E+01 -2.655558E+01 -6.000000E+01 -6.000000E+01 1.279670E+00 1.666667E+00 0.000000E+00 9.922090E-01 7.791225E-03
2.622904E+00 -2.652984E+01 -2.652984E+01 -6.000000E+01 -6.000000E+01 1.279250E+00 1.666667E+00 0.000000E+00 9.918870E-01 8.112727E-03
2.635822E+00 -2.650437E+01 -2.650437E+01 -6.000000E+01 -6.000000E+01 1.278810E+00 1.666667E+00 0.000000E+00 9.915550E-01 8.444928E-03
2.648736E+00 -2.647918E+01 -2.647918E+01 -6.000000E+01 -6.000000E+01 1.278360E+00 1.666667E+00 0.000000E+00 9.912120E-01 8.788184E-03
2.661642E+00 -2.645426E+01 -2.645426E+01 -6.000000E+01 -6.000000E+01 1.277900E+00 1.666667E+00 0.000000E+00 9.908570E-01 9.142872E-03
2.674544E+00 -2.642961E+01 -2.642961E+01 -6.000000E+01 -6.000000E+01 1.277420E+00 1.666667E+00 0.000000E+00 9.904910E-01 9.509387E-03
2.687440E+00 -2.640522E+01 -2.640522E+01 -6.000000E+01 -6.000000E+01 1.276920E+00 1.666667E+00 0.000000E+00 9.901120E-01 9.888149E-03
2.700328E+00 -2.638110E+01 -2.638110E+01 -6.000000E+01 -6.000000E+01 1.276410E+00 1.666667E+00 0.000000E+00 9.897200E-01 1.027960E-02
2.713210E+00 -2.635723E+01 -2.635723E+01 -6.000000E+01 -6.000000E+01 1.275880E+00 1.666667E+00 0.000000E+00 9.893160E-01 1.068420E-02
2.726084E+00 -2.633362E+01 -2.633362E+01 -6.000000E+01 -6.000000E+01 1.275340E+00 1.666667E+00 0.000000E+00 9.888980E-01 1.110245E-02
2.738951E+00 -2.631026E+01 -2.631026E+01 -6.000000E+01 -6.000000E+01 1.274780E+00 1.666667E+00 0.000000E+00 9.884650E-01 1.153486E-02
2.751809E+00 -2.628714E+01 -2.628714E+01 -6.000000E+01 -6.000000E+01 1.274190E+00 1.666667E+00 0.000000E+00 9.880180E-01 1.198198E-02
2.764658E+00 -2.626427E+01 -2.626427E+01 -6.000000E+01 -6.000000E+01 1.273590E+00 1.666667E+00 0.000000E+00 9.875560E-01 1.244439E-02
2.777499E+00 -2.624163E+01 -2.624163E+01 -6.000000E+01 -6.000000E+01 1.272970E+00 1.666667E+00 0.000000E+00 9.870770E-01 1.292270E-02
2.790328E+00 -2.621922E+01 -2.621922E+01 -6.000000E+01 -6.000000E+01 1.272330E+00 1.666667E+00 0.000000E+00 9.865820E-01 1.341755E-02
2.803148E+00 -2.619705E+01 -2.619705E+01 -6.000000E+01 -6.000000E+01 1.271660E+00 1.666667E+00 0.000000E+00 9.860700E-01 1.392963E-02
2.815957E+00 -2.617509E+01 -2.617509E+01 -6.000000E+01 -6.000000E+01 1.270970E+00 1.666667E+00 0.000000E+00 9.855400E-01 1.445964E-02
2.828754E+00 -2.615335E+01 -2.615335E+01 -6.000000E+01 -6.000000E+01 1.270260E+00 1.666667E+00 0.000000E+00 9.849920E-01 1.500835E-02
2.841538E+00 -2.613183E+01 -2.613183E+01 -6.000000E+01 -6.000000E+01 1.269530E+00 1.666667E+00 0.000000E+00 9.844230E-01 1.557655E-02
2.854310E+00 -2.611051E+01 -2.611051E+01 -6.000000E+01 -6.000000E+01 1.268770E+00 1.666667E+00 0.000000E+00 9.838350E-01 1.616510E-02
2.867068E+00 -2.608939E+01 -2.608939E+01 -6.000000E+01 -6.000000E+01 1.267980E+00 1.666667E+00 0.000000E+00 9.832250E-01 1.677487E-02
